Source,Target,Value
China_ref_poss,Raw Materials not accounted for in refining production,10634710
India_ref_poss,Raw Materials not accounted for in refining production,1676438.4
Japan_ref_poss,Raw Materials not accounted for in refining production,220490.1
United States of America_ref_poss,Raw Materials not accounted for in refining production,78361.1
Colombia_ref_poss,Raw Materials not accounted for in refining production,2422.4
Spain_ref_poss,Raw Materials not accounted for in refining production,59858.8
Unaccounted for Additional Refining Production,India_ref,14963.868
Unaccounted for Additional Refining Production,Spain_ref,1699.17
Australia_mine,Trade to countries with no refining or <br /> raw materials not accounted for in trade,1500286.8
Australia_mine,China_ref_poss,1604709.3
Australia_mine,India_ref_poss,161310.9
Australia_mine,Japan_ref_poss,63693
Brazil_mine,Trade to countries with no refining or <br /> raw materials not accounted for in trade,43613.1
Brazil_mine,China_ref_poss,839648.4
Brazil_mine,Colombia_ref_poss,5671.8
Brazil_mine,India_ref_poss,13184.4
Brazil_mine,Japan_ref_poss,48.6
Brazil_mine,Spain_ref_poss,8756.7
Brazil_mine,United States of America_ref_poss,165.9
Myanmar_mine,Trade to countries with no refining or <br /> raw materials not accounted for in trade,85655
Myanmar_mine,China_ref_poss,168345
China_mine,China_ref_poss,1331344.4
China_mine,Trade to countries with no refining or <br /> raw materials not accounted for in trade,6528.9
China_mine,India_ref_poss,2100.3
China_mine,Japan_ref_poss,26.4
Cote d'Ivoire_mine,Trade to countries with no refining or <br /> raw materials not accounted for in trade,525000
Gabon_mine,Trade to countries with no refining or <br /> raw materials not accounted for in trade,1620860.2
Gabon_mine,China_ref_poss,1417587
Gabon_mine,Greece_ref_poss,6600
Gabon_mine,India_ref_poss,166471.8
Gabon_mine,Japan_ref_poss,18642.6
Gabon_mine,Spain_ref_poss,14859.3
Gabon_mine,United States of America_ref_poss,64979.1
Georgia_mine,Trade to countries with no refining or <br /> raw materials not accounted for in trade,186000
Ghana_mine,China_ref_poss,561455.4
Ghana_mine,Trade to countries with no refining or <br /> raw materials not accounted for in trade,157708.5
India_mine,India_ref_poss,624655.7
India_mine,Trade to countries with no refining or <br /> raw materials not accounted for in trade,7330.2
India_mine,Japan_ref_poss,14.1
Kazakhstan_mine,Trade to countries with no refining or <br /> raw materials not accounted for in trade,113926.7
Kazakhstan_mine,China_ref_poss,44073.3
Malaysia_mine,Trade to countries with no refining or <br /> raw materials not accounted for in trade,87931.4
Malaysia_mine,China_ref_poss,259068.6
Mexico_mine,Trade to countries with no refining or <br /> raw materials not accounted for in trade,168612.6
Mexico_mine,China_ref_poss,8210.4
Mexico_mine,Spain_ref_poss,15
Mexico_mine,United States of America_ref_poss,21162
South Africa_mine,Trade to countries with no refining or <br /> raw materials not accounted for in trade,1678933.7
South Africa_mine,China_ref_poss,4121010.6
South Africa_mine,India_ref_poss,484553.1
South Africa_mine,Japan_ref_poss,155858.7
South Africa_mine,Spain_ref_poss,36285.6
South Africa_mine,United States of America_ref_poss,23358.3
Ukraine_mine,Trade to countries with no refining or <br /> raw materials not accounted for in trade,577990.7
Ukraine_mine,United States of America_ref_poss,9.3
Vietnam_mine,Trade to countries with no refining or <br /> raw materials not accounted for in trade,121000
Trade from countries with no mining,United States of America_ref_poss,376.5
Trade from countries with no mining,India_ref_poss,224704.2
Trade from countries with no mining,Spain_ref_poss,8068.2
Trade from countries with no mining,China_ref_poss,469107.6
Trade from countries with no mining,Japan_ref_poss,83.7
Trade from countries with no mining,Colombia_ref_poss,0.6
Trade from countries with no mining,Greece_ref_poss,43.2
Unknown Raw Material Source_mine,Greece_ref_poss,7441.8
Unknown Raw Material Source_mine,Colombia_ref_poss,0
Unknown Raw Material Source_mine,India_ref_poss,0
Unknown Raw Material Source_mine,Spain_ref_poss,0
Unknown Raw Material Source_mine,United States of America_ref_poss,0
